State,LGA,PU-Name,Ward,Latitude,Longitude,APC,LP,PDP,NNPP
ZAMFARA,ANKA,BAGEGA II/MAKARANTA,BAGEGA,11.86603,5.99806,86,0,36,3
ZAMFARA,BAKURA,SHIYAR TUDU/PRIMARY SCHOOL,BIRNIN TUDU,7.07464,6.28116,295,0,55,0
ZAMFARA,BAKURA,S/AJIYA II/VILLAGE HEAD OFFICE,BIRNIN TUDU,12.08621,5.29921,184,0,74,0
ZAMFARA,BAKURA,DAMRI   I/MODEL PRIMARY SCHOOL,DAMRI,7.07464,6.28116,511,0,37,0
ZAMFARA,BAKURA,MADACCI II/ADULT EDU. CLASS,DANKADU,12.209366,4.563697,129,0,204,14
ZAMFARA,BAKURA,DAN MANAU    /  MODEL PRI SCH.,DAN MANAU,12.261364,6.45251,145,1,97,6
ZAMFARA,BIRNIN MAGAJI,SHAMUSHALE I /SHIYAR SABON GARI,DANFAMI SABON BIRINI,11.11164,7.73103,60,0,40,0
ZAMFARA,BIRNIN MAGAJI,MADAMBAJI    /  GARKAR HAKIMI,GORA,12.68309,6.12048,235,0,49,0
ZAMFARA,BIRNIN MAGAJI,SAKEEN KADE   /   KOFAR GIDAN A LABBO,GUSAMI HAYI,9.083121,7.466936,118,0,25,0
ZAMFARA,BUKKUYUM,KATAFANA / DAN FAGE,ADABKA,11.29979,6.4945,34,0,2,0
ZAMFARA,BUKKUYUM,BUKKUYUM I    /   PRIMARY SCHOOL,BUKKUYUM,7.07464,6.28116,126,0,88,0
ZAMFARA,BUKKUYUM,RUGAR BABA  / DOGON YARO,GWASHI,10.21711,8.81479,126,0,47,0
ZAMFARA,BUKKUYUM,MUKUNAWA DUTSI / YAR INNUWA,GWASHI,12.87677,6.60792,31,0,4,0
ZAMFARA,BUKKUYUM,TUNGAR YARA / MAI YARA,GWASHI,10.22146,10.70557,38,0,60,0
ZAMFARA,BUKKUYUM,KADO / YAR RUNFA,KYARAM,9.07966,7.42353,58,0,19,0
ZAMFARA,BUKKUYUM,ULI / DAN ULI,KYARAM,5.78586,6.86588,47,4,9,0
ZAMFARA,BUKKUYUM,SHIYAR MAGAJI III / SHIYAR MAGAJI,NASARAWA,12.54528,6.81309,68,0,140,0
ZAMFARA,BUKKUYUM,TUNGAR KORAU / TUNGAR KORAU,NASARAWA,12.31828,6.0576,38,0,60,0
ZAMFARA,BUKKUYUM,ZAUMA / PRIMARY SCHOOL,ZAUMA,7.07464,6.28116,221,0,53,0
ZAMFARA,BUNGUDU,GIDAN MASAKA KABA   /  DAN HILI,NAHUCE,13.09077,6.51959,57,0,37,0
ZAMFARA,BUNGUDU,KURMI  / BAKIN GIDAN HAKIMI,RAWAYYA/ BELA,13.09077,6.51959,95,0,85,0
ZAMFARA,BUNGUDU,KWAGE  / BAKIN GIDAN HAKIMI,RAWAYYA/ BELA,13.09077,6.51959,90,0,128,0
ZAMFARA,BUNGUDU,BELA/ASAKO II    /  DAN HILI,RAWAYYA/ BELA,11.29979,6.4945,179,0,62,0
ZAMFARA,BUNGUDU,WAZOJI  /   PRIMARY SCHOOL,TOFA,7.07464,6.28116,23,0,14,0
ZAMFARA,GUMMI,KALI / KALI KASUWA,BIRNIN MAGAJI,12.41509,6.60317,145,0,83,0
ZAMFARA,GUMMI,SH. ANNA  I / PRI. SCH.,GAYARI,12.11167,5.92689,187,1,88,0
ZAMFARA,GUMMI,ADARAWA  I / PRIMARY SCHOOL,GAYARI,7.07464,6.28116,62,0,76,0
ZAMFARA,GUSAU,ABARMA   /  PRIMARY SCHOOL  ABARMA,MADAWAKI,12.19104,6.62456,48,0,138,2
ZAMFARA,GUSAU,SABON GARI I   /  MADA GENERAL HOSPITAL,MADA,12.02014,8.53028,82,0,129,15
ZAMFARA,GUSAU,SARKIN RAFI I   /  HAYIN BOJA,MADA,12.64525,5.71773,36,0,38,4
ZAMFARA,GUSAU,GIDAN KARA    /   DAN HILI,MADA,12.57801,5.2949,43,2,56,1
ZAMFARA,MARADUN,KYARA / SH/ADAMU,FARU / MAGAMI,8.48797,4.53626,66,0,48,0
ZAMFARA,MARADUN,SHIYAR BADIYE / KUKAR GASHE,FARU / MAGAMI,12.090327,6.325599,175,0,54,6
ZAMFARA,MARADUN,UNG. MAIJATAU / KOGON MAI JATAU,JANBAKO,11.69243,7.41669,58,0,23,0
ZAMFARA,MARADUN,KAREN BUKI / UNGUWAN SARKIN FULANI,MARADUN NORTH,12.569,6.24542,103,0,12,0
ZAMFARA,MARADUN,TUNGAR MAGAJI   /  PRIMARY SCHOOL AREA,MARADUN SOUTH,13.046287,6.482525,161,0,0,0
ZAMFARA,MARU,KOLI - GARKAR HAKIMI,BINDIN,12.53769,6.63022,2,0,1,0
ZAMFARA,TALATA MAFARA,MORAWA / MAKARANTA,GWARAM,12.11441,6.23229,267,3,28,0
ZAMFARA,TALATA MAFARA,KARTAWA / GARKAR BALARABE,SHIYAR GALADIMA,12.11441,6.23229,111,0,28,1
ZAMFARA,TALATA MAFARA,SHIYAR  NA-MARU   /   GARKAR NA MARU,SHIYAR GALADIMA,12.34418,6.38639,70,0,87,0
ZAMFARA,TALATA MAFARA,MAITAKO / KUSA DA MASALLACHI,SHIYAR GALADIMA,12.61104,6.77781,208,0,38,0
ZAMFARA,TSAFE,GOBIRAWA I / GARKAR MAI GARI,YANDOTON DAJI,11.49481,6.03685,89,0,124,1
ZAMFARA,TSAFE,NASARAWA / DAN FILI,YANDOTON DAJI,11.99343,5.75748,99,0,23,2
ZAMFARA,TSAFE,SHIYAR KOGO / KOFAR MARAFA,"YANKUZO ""A""",12.53769,6.63022,55,0,16,3
ZAMFARA,TSAFE,SHIYAR S.  AIKI / KOFAR YUGUDA,"YANKUZO ""A""",12.45675,12.45675,55,0,16,3
ZAMFARA,TSAFE,TAKULAWA    /  PRIMARY SCHOOL,"YANKUZO ""A""",7.07464,6.28116,179,0,48,2
ZAMFARA,TSAFE,KETA I / MAKARANTA,KETA/KIZARA,12.11441,6.23229,87,0,215,4
ZAMFARA,TSAFE,BAKIN GULBI / DANFAKO,TSAFE,11.64925,6.24687,84,0,58,0
ZAMFARA,TSAFE,RUGGAR  NA ALI / PRIMARY SCHOOL,TSAFE,9.404974,7.607418,33,0,60,2
ZAMFARA,TSAFE,UNG. SARKIN FAWA / DAN FAKO,CHEDIYA,11.99258,6.96168,35,0,131,0
ZAMFARA,TSAFE,CHEDIYA / BAKIN KASUWA,CHEDIYA,12.41509,6.60317,28,1,172,1
ZAMFARA,TSAFE,TABKIN KAZAI II / PRIMARY SCHOOL,YAN WAREN DAJI,8.65,8.833333,113,0,11,0
ZAMFARA,TSAFE,MARKE    /  PRIMARY SCHOOL,YAN WAREN DAJI,7.07464,6.28116,127,0,53,1
ZAMFARA,ZURMI,SABON GARI  /  MUH'D A PRI. SCH.,GALADIMA/YANRUWA,12.165904,6.666069,135,0,181,4
ZAMFARA,ZURMI,KOFAR KASUWA  I / TSOHUWAR KASUWA,GALADIMA/YANRUWA,12.41509,6.60317,131,0,108,0
ZAMFARA,ZURMI,TAKALMAWA / PRIMARY SCHOOL,KANWA,7.07464,6.28116,40,0,114,0
ZAMFARA,ANKA,TUNTAJIYA PRI SCH,BAGEGA,6.46983,7.504187,42,0,18,0
ZAMFARA,BAKURA,SHIYAR MAYANCI GAMJI,DAN MANAU,12.3518,6.24898,193,0,42,0
ZAMFARA,BAKURA,GAMJI SEC. SCH,DAN MANAU,6.329575,5.598731,210,0,61,1
ZAMFARA,BIRNIN MAGAJI,JNI PRI. SCHOOL,MODOMAWA WEST,6.8777,3.3074,68,0,16,0
ZAMFARA,BUNGUDU,LANDAI/ DAN HILI,BINGI NORTH,11.29979,6.4945,39,0,32,0
ZAMFARA,BUNGUDU,MATSERI COMM PRI.SCH,BUNGUDU,11.88513,6.33419,33,0,18,0
ZAMFARA,BUNGUDU,GIDAN DAN INNA D/ FILI,FURFURI/KWAI-KWAI,12.57801,5.2949,110,0,34,0
ZAMFARA,BUNGUDU,SABON GIDA PRI.SCH,RAWAYYA/ BELA,9.95457,12.55431,0,0,2,0
ZAMFARA,BUNGUDU,YAR BACHAKA,SAMAWA,12.11441,6.23229,140,0,62,0
ZAMFARA,MARADUN,FARU /DISPENSARY,FARU / MAGAMI,12.34418,6.38639,61,2,34,0
ZAMFARA,MARADUN,SHIYAR DANKADU II/KYALETA,JANBAKO,12.11441,6.23229,117,0,20,1
ZAMFARA,TALATA MAFARA,DAN JALLABA III/ UNGUWAR ROGO/ BAKIN TRANSFORMER,SHIYAR GALADIMA,12.380732,6.738067,122,3,36,0
ZAMFARA,TALATA MAFARA,TABKIN BUSAU IV/ N.D.L.E.A.,SHIYAR GALADIMA,12.16889,6.66117,219,0,18,1
ZAMFARA,TALATA MAFARA,SHAGON TUKUR MANGO V/BAKIN YAR KOFA/MALLAMAWA,SHIYAR GALADIMA,12.45675,6.78801,133,0,34,0
